"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Aug-2024","EQ","101.00","101.60","98.02","97.81","100.20","100.55","99.25","118.40","48.40","3,88,58,385","3,85,68,73,728.04","1,60,590"
"06-Aug-2024","EQ","99.00","101.50","97.42","98.31","97.86","97.81","99.46","118.40","48.40","3,65,52,604","3,63,56,78,179.25","1,81,941"
"05-Aug-2024","EQ","100.00","101.25","97.73","103.31","98.08","98.31","99.33","118.40","48.40","5,75,34,546","5,71,48,64,139.72","3,12,776"
"02-Aug-2024","EQ","103.00","103.95","102.36","105.05","103.42","103.31","103.27","118.40","48.40","2,48,54,216","2,56,68,11,231.67","1,21,800"
"01-Aug-2024","EQ","105.70","106.30","103.80","105.04","105.00","105.05","105.02","118.40","48.40","3,22,07,899","3,38,23,93,922.57","1,20,476"
"31-Jul-2024","EQ","105.50","105.98","104.75","105.49","105.24","105.04","105.10","118.40","48.40","2,60,15,515","2,73,42,94,293.24","1,15,443"
"30-Jul-2024","EQ","105.36","106.65","105.25","105.36","105.44","105.49","105.86","118.40","48.40","2,93,87,753","3,11,10,26,048.30","1,14,293"
"29-Jul-2024","EQ","105.25","105.78","104.26","104.62","105.45","105.36","105.18","118.40","48.40","3,61,22,083","3,79,92,57,724.22","1,44,389"
"26-Jul-2024","EQ","103.50","107.40","103.50","101.96","104.55","104.62","105.45","118.40","47.40","7,41,50,250","7,81,92,03,612.07","2,31,339"
"25-Jul-2024","EQ","101.40","103.80","101.01","102.38","101.99","101.96","102.30","118.40","47.40","3,78,70,720","3,87,40,16,731.14","1,61,381"
"24-Jul-2024","EQ","103.38","105.83","101.82","103.75","102.60","102.38","103.39","118.40","47.40","6,92,56,057","7,16,01,03,731.96","2,47,414"
"23-Jul-2024","EQ","108.18","108.87","96.67","107.30","103.59","103.75","103.37","118.40","47.40","11,92,53,056","12,32,68,08,843.03","5,16,605"
"22-Jul-2024","EQ","105.80","108.65","104.30","106.27","107.49","107.30","107.08","118.40","47.40","5,79,95,385","6,21,01,80,831.11","2,25,266"
"19-Jul-2024","EQ","108.45","109.72","105.50","108.30","105.94","106.27","106.82","118.40","45.35","6,50,72,210","6,95,11,95,164.40","2,79,287"
"18-Jul-2024","EQ","113.45","114.60","107.50","113.21","108.60","108.30","109.45","118.40","45.35","8,48,93,554","9,29,16,15,152.53","3,31,438"
"16-Jul-2024","EQ","116.21","117.30","113.00","115.81","113.68","113.21","114.85","118.40","45.35","6,03,99,835","6,93,67,89,042.25","2,37,583"
"15-Jul-2024","EQ","113.80","118.40","111.65","113.02","115.94","115.81","115.74","118.40","45.35","13,84,87,161","16,02,85,69,219.63","4,47,995"
"12-Jul-2024","EQ","115.00","116.95","112.55","114.07","112.81","113.02","114.91","118.00","44.85","15,86,15,919","18,22,63,85,478.23","4,70,743"
"11-Jul-2024","EQ","109.44","114.49","109.00","108.82","114.21","114.07","111.74","118.00","44.85","17,81,98,788","19,91,17,07,583.83","4,51,710"
"10-Jul-2024","EQ","106.79","109.60","102.06","106.05","108.95","108.82","106.98","118.00","44.85","13,49,58,277","14,43,78,28,637.75","3,64,366"
"09-Jul-2024","EQ","104.18","107.49","103.70","103.62","106.30","106.05","106.15","118.00","44.85","9,88,80,924","10,49,64,19,357.91","2,75,695"
"08-Jul-2024","EQ","104.50","106.70","103.25","103.82","103.49","103.62","104.86","118.00","44.85","6,97,92,078","7,31,86,20,189.59","2,36,089"
"05-Jul-2024","EQ","103.40","105.30","102.94","103.60","103.65","103.82","103.99","118.00","44.85","7,42,13,267","7,71,76,96,152.38","2,08,797"
"04-Jul-2024","EQ","102.00","104.34","101.80","101.46","102.98","103.60","103.20","118.00","44.85","8,18,24,578","8,44,40,95,886.29","2,22,791"
"03-Jul-2024","EQ","99.45","101.94","99.26","99.00","101.30","101.46","100.89","118.00","44.85","6,24,71,696","6,30,24,89,729.46","1,60,572"
"02-Jul-2024","EQ","100.35","100.68","98.71","100.10","99.00","99.00","99.55","118.00","44.85","2,90,96,085","2,89,66,17,084.98","1,39,574"
"01-Jul-2024","EQ","101.00","101.25","99.81","100.70","100.08","100.10","100.22","118.00","44.85","2,09,49,761","2,09,95,78,521.24","1,09,000"
"28-Jun-2024","EQ","99.00","102.83","98.69","98.58","100.54","100.70","100.96","118.00","44.85","5,35,77,299","5,40,89,67,283.47","1,59,489"
"27-Jun-2024","EQ","99.70","100.30","98.01","99.70","98.96","98.58","99.07","118.00","44.85","3,89,62,271","3,86,01,69,040.13","1,56,157"
"26-Jun-2024","EQ","99.99","100.54","99.10","99.88","99.35","99.70","99.84","118.00","44.85","3,18,50,737","3,18,00,82,711.15","1,18,777"
"25-Jun-2024","EQ","100.04","100.60","99.51","99.81","99.78","99.88","99.94","118.00","44.85","2,37,95,528","2,37,80,93,158.58","1,06,146"
"24-Jun-2024","EQ","99.71","101.20","99.51","100.76","99.75","99.81","100.24","118.00","44.85","4,91,49,212","4,92,65,96,849.82","1,32,484"
"21-Jun-2024","EQ","100.30","101.70","99.95","100.29","100.75","100.76","100.61","118.00","44.85","4,73,41,955","4,76,30,18,989.62","1,54,136"
"20-Jun-2024","EQ","100.10","101.78","99.70","100.10","100.25","100.29","100.57","118.00","44.85","4,19,74,488","4,22,15,40,050.35","2,01,432"
"19-Jun-2024","EQ","102.00","102.15","99.11","101.70","100.19","100.10","100.37","118.00","44.85","3,92,53,925","3,93,98,53,585.62","1,56,811"
"18-Jun-2024","EQ","103.15","103.30","101.24","102.59","101.85","101.70","102.21","118.00","44.85","3,53,31,787","3,61,11,44,500.41","1,52,773"
"14-Jun-2024","EQ","102.56","104.30","101.60","102.30","102.45","102.59","102.84","118.00","43.95","4,79,10,765","4,92,71,34,773.58","1,51,208"
"13-Jun-2024","EQ","103.60","104.07","101.87","103.17","102.35","102.30","102.62","118.00","43.95","4,20,52,456","4,31,54,68,858.36","1,43,306"
"12-Jun-2024","EQ","102.74","103.95","102.49","102.39","103.02","103.17","103.15","118.00","43.95","4,75,19,149","4,90,13,89,094.02","1,49,103"
"11-Jun-2024","EQ","102.75","102.85","101.28","101.98","102.40","102.39","102.09","118.00","43.95","6,82,34,398","6,96,60,10,729.06","2,95,882"
"10-Jun-2024","EQ","104.30","105.48","101.40","103.20","101.85","101.98","103.60","118.00","43.95","6,67,59,074","6,91,61,23,135.07","2,84,419"
"07-Jun-2024","EQ","102.70","103.85","101.30","102.60","103.10","103.20","102.66","118.00","43.40","8,47,65,091","8,70,18,88,628.05","2,19,509"
"06-Jun-2024","EQ","99.75","104.95","99.55","97.35","102.95","102.60","102.72","118.00","43.40","10,56,41,480","10,85,16,39,053.60","3,09,674"
"05-Jun-2024","EQ","100.00","101.80","93.15","97.40","97.35","97.35","96.56","118.00","43.40","13,95,89,190","13,47,91,31,255.05","5,10,154"
"04-Jun-2024","EQ","113.15","113.25","91.10","113.15","98.35","97.40","102.28","118.00","43.40","28,40,68,043","29,05,41,44,900.00","10,13,342"
"03-Jun-2024","EQ","118.00","118.00","110.60","107.25","113.25","113.15","113.11","118.00","43.40","16,04,15,834","18,14,46,22,953.90","5,18,385"
"31-May-2024","EQ","101.85","110.45","101.40","101.05","108.00","107.25","106.44","115.85","42.75","59,69,96,129","63,54,62,29,180.45","5,22,450"
"30-May-2024","EQ","102.00","102.00","100.00","101.60","100.85","101.05","100.97","115.85","42.75","7,70,18,738","7,77,66,26,374.80","1,67,175"
"29-May-2024","EQ","100.20","102.30","98.65","100.20","101.65","101.60","100.65","115.85","42.75","8,57,94,252","8,63,50,80,921.30","2,10,565"
